,Parameters,RMSE,Slope
0,[ 0.81   0.82   0.83   0.84   0.85   0.86   0.87   0.88   0.89   0.801],2690.707952,1.139831412
1,[ 0.81   0.82   0.83   0.84   0.85   0.86   0.87   0.88   0.89   0.801],2690.707952,1.139831412
2,[ 0.86   0.82   0.83   0.84   0.85   0.86   0.87   0.88   0.89   0.801],2660.487603,1.135045044
3,[ 0.81   0.87   0.83   0.84   0.85   0.86   0.87   0.88   0.89   0.801],2686.150116,1.13924225
4,[ 0.81   0.82   0.88   0.84   0.85   0.86   0.87   0.88   0.89   0.801],2686.098726,1.139009927
5,[ 0.81   0.82   0.83   0.89   0.85   0.86   0.87   0.88   0.89   0.801],2684.47659,1.13902174
6,[ 0.81   0.82   0.83   0.84   0.9    0.86   0.87   0.88   0.89   0.801],2684.166748,1.1390326
7,[ 0.81   0.82   0.83   0.84   0.85   0.91   0.87   0.88   0.89   0.801],2421.262395,1.117582459
8,[ 0.81   0.82   0.83   0.84   0.85   0.86   0.92   0.88   0.89   0.801],2671.078019,1.138189824
9,[ 0.81   0.82   0.83   0.84   0.85   0.86   0.87   0.93   0.89   0.801],2690.707952,1.139831412
10,[ 0.81   0.82   0.83   0.84   0.85   0.86   0.87   0.88   0.94   0.801],2690.707952,1.139831412
11,[ 0.81   0.82   0.83   0.84   0.85   0.86   0.87   0.88   0.89   0.851],2689.917083,1.139772049
12,"[ 0.81        0.82        0.83        0.84        0.85        0.86000001
  0.87        0.88        0.89        0.801     ]",2690.707952,1.139831412
13,"[ 0.81        0.82        0.83        0.84        0.85        0.86000001
  0.87        0.88        0.89        0.801     ]",2690.707952,1.139831412
14,"[ 0.86        0.82        0.83        0.84        0.85        0.86000001
  0.87        0.88        0.89        0.801     ]",2660.487603,1.135045044
15,"[ 0.81        0.87        0.83        0.84        0.85        0.86000001
  0.87        0.88        0.89        0.801     ]",2686.150116,1.13924225
16,"[ 0.81        0.82        0.88        0.84        0.85        0.86000001
  0.87        0.88        0.89        0.801     ]",2686.098726,1.139009927
17,"[ 0.81        0.82        0.83        0.89        0.85        0.86000001
  0.87        0.88        0.89        0.801     ]",2684.47659,1.13902174
18,"[ 0.81        0.82        0.83        0.84        0.9         0.86000001
  0.87        0.88        0.89        0.801     ]",2684.166748,1.1390326
19,"[ 0.81        0.82        0.83        0.84        0.85        0.91000001
  0.87        0.88        0.89        0.801     ]",2421.262395,1.117582459
20,"[ 0.81        0.82        0.83        0.84        0.85        0.86000001
  0.92        0.88        0.89        0.801     ]",2671.078019,1.138189824
21,"[ 0.81        0.82        0.83        0.84        0.85        0.86000001
  0.87        0.93        0.89        0.801     ]",2690.707952,1.139831412
22,"[ 0.81        0.82        0.83        0.84        0.85        0.86000001
  0.87        0.88        0.94        0.801     ]",2690.707952,1.139831412
23,"[ 0.81        0.82        0.83        0.84        0.85        0.86000001
  0.87        0.88        0.89        0.851     ]",2689.917083,1.139772049
24,"[ 0.85374144  0.82659709  0.83667147  0.84901938  0.85946785  1.25
  0.89841269  0.88        0.89        0.80214472]",2298.627289,0.799874358
25,"[ 0.85374144  0.82659709  0.83667147  0.84901938  0.85946785  1.25
  0.89841269  0.88        0.89        0.80214472]",2298.627289,0.799874358
26,"[ 0.90374144  0.82659709  0.83667147  0.84901938  0.85946785  1.25
  0.89841269  0.88        0.89        0.80214472]",2357.357383,0.792972352
27,"[ 0.85374144  0.87659709  0.83667147  0.84901938  0.85946785  1.25
  0.89841269  0.88        0.89        0.80214472]",2306.123873,0.799187084
28,"[ 0.85374144  0.82659709  0.88667147  0.84901938  0.85946785  1.25
  0.89841269  0.88        0.89        0.80214472]",2304.277648,0.799029674
29,"[ 0.85374144  0.82659709  0.83667147  0.89901938  0.85946785  1.25
  0.89841269  0.88        0.89        0.80214472]",2312.628084,0.798751754
30,"[ 0.85374144  0.82659709  0.83667147  0.84901938  0.90946785  1.25
  0.89841269  0.88        0.89        0.80214472]",2307.795168,0.799038139
31,"[ 0.85374144  0.82659709  0.83667147  0.84901938  0.85946785  1.3
  0.89841269  0.88        0.89        0.80214472]",3609.609687,0.698339386
32,"[ 0.85374144  0.82659709  0.83667147  0.84901938  0.85946785  1.25
  0.94841269  0.88        0.89        0.80214472]",2317.832879,0.798322108
33,"[ 0.85374144  0.82659709  0.83667147  0.84901938  0.85946785  1.25
  0.89841269  0.93        0.89        0.80214472]",2298.627289,0.799874358
34,"[ 0.85374144  0.82659709  0.83667147  0.84901938  0.85946785  1.25
  0.89841269  0.88        0.94        0.80214472]",2298.627289,0.799874358
35,"[ 0.85374144  0.82659709  0.83667147  0.84901938  0.85946785  1.25
  0.89841269  0.88        0.89        0.85214472]",2299.926278,0.799814495
36,"[ 0.83187072  0.82329854  0.83333574  0.84450969  0.85473392  1.055
  0.88420635  0.88        0.89        0.80157236]",1391.190036,1.022196211
37,"[ 0.83187072  0.82329854  0.83333574  0.84450969  0.85473392  1.055
  0.88420635  0.88        0.89        0.80157236]",1391.190036,1.022196211
38,"[ 0.88187072  0.82329854  0.83333574  0.84450969  0.85473392  1.055
  0.88420635  0.88        0.89        0.80157236]",1371.905821,1.01578041
39,"[ 0.83187072  0.87329854  0.83333574  0.84450969  0.85473392  1.055
  0.88420635  0.88        0.89        0.80157236]",1388.759883,1.021513368
40,"[ 0.83187072  0.82329854  0.88333574  0.84450969  0.85473392  1.055
  0.88420635  0.88        0.89        0.80157236]",1388.379395,1.021374282
41,"[ 0.83187072  0.82329854  0.83333574  0.89450969  0.85473392  1.055
  0.88420635  0.88        0.89        0.80157236]",1388.557796,1.021079264
42,"[ 0.83187072  0.82329854  0.83333574  0.84450969  0.90473392  1.055
  0.88420635  0.88        0.89        0.80157236]",1388.554863,1.021543949
43,"[ 0.83187072  0.82329854  0.83333574  0.84450969  0.85473392  1.105
  0.88420635  0.88        0.89        0.80157236]",1073.806467,0.974249938
44,"[ 0.83187072  0.82329854  0.83333574  0.84450969  0.85473392  1.055
  0.93420635  0.88        0.89        0.80157236]",1378.257179,1.020461603
45,"[ 0.83187072  0.82329854  0.83333574  0.84450969  0.85473392  1.055
  0.88420635  0.93        0.89        0.80157236]",1391.190036,1.022196211
46,"[ 0.83187072  0.82329854  0.83333574  0.84450969  0.85473392  1.055
  0.88420635  0.88        0.94        0.80157236]",1391.190036,1.022196211
47,"[ 0.83187072  0.82329854  0.83333574  0.84450969  0.85473392  1.055
  0.88420635  0.88        0.89        0.85157236]",1390.946125,1.022136694
48,"[ 0.84280608  0.82494782  0.8350036   0.84676453  0.85710089  1.1525
  0.89130952  0.88        0.89        0.80185854]",1075.049067,0.929636699
49,"[ 0.84280608  0.82494782  0.8350036   0.84676453  0.85710089  1.1525
  0.89130952  0.88        0.89        0.80185854]",1075.049067,0.929636699
50,"[ 0.89280608  0.82494782  0.8350036   0.84676453  0.85710089  1.1525
  0.89130952  0.88        0.89        0.80185854]",1110.122345,0.922976098
51,"[ 0.84280608  0.87494782  0.8350036   0.84676453  0.85710089  1.1525
  0.89130952  0.88        0.89        0.80185854]",1079.83155,0.928951727
52,"[ 0.84280608  0.82494782  0.8850036   0.84676453  0.85710089  1.1525
  0.89130952  0.88        0.89        0.80185854]",1077.764576,0.928814328
53,"[ 0.84280608  0.82494782  0.8350036   0.89676453  0.85710089  1.1525
  0.89130952  0.88        0.89        0.80185854]",1085.436917,0.928525831
54,"[ 0.84280608  0.82494782  0.8350036   0.84676453  0.90710089  1.1525
  0.89130952  0.88        0.89        0.80185854]",1079.427574,0.928984437
55,"[ 0.84280608  0.82494782  0.8350036   0.84676453  0.85710089  1.2025
  0.89130952  0.88        0.89        0.80185854]",1584.408435,0.862806416
56,"[ 0.84280608  0.82494782  0.8350036   0.84676453  0.85710089  1.1525
  0.94130952  0.88        0.89        0.80185854]",1085.984011,0.92783416
57,"[ 0.84280608  0.82494782  0.8350036   0.84676453  0.85710089  1.1525
  0.89130952  0.93        0.89        0.80185854]",1075.049067,0.929636699
58,"[ 0.84280608  0.82494782  0.8350036   0.84676453  0.85710089  1.1525
  0.89130952  0.88        0.94        0.80185854]",1075.049067,0.929636699
59,"[ 0.84280608  0.82494782  0.8350036   0.84676453  0.85710089  1.1525
  0.89130952  0.88        0.89        0.85185854]",1076.029542,0.929577029
60,"[ 0.8373384   0.82412318  0.83416967  0.84563711  0.85591741  1.10375
  0.88775793  0.88        0.89        0.80171545]",1073.486582,0.9726969
61,"[ 0.8373384   0.82412318  0.83416967  0.84563711  0.85591741  1.10375
  0.88775793  0.88        0.89        0.80171545]",1073.486582,0.9726969
62,"[ 0.8873384   0.82412318  0.83416967  0.84563711  0.85591741  1.10375
  0.88775793  0.88        0.89        0.80171545]",1078.811856,0.967528971
63,"[ 0.8373384   0.87412318  0.83416967  0.84563711  0.85591741  1.10375
  0.88775793  0.88        0.89        0.80171545]",1074.530594,0.97201269
64,"[ 0.8373384   0.82412318  0.88416967  0.84563711  0.85591741  1.10375
  0.88775793  0.88        0.89        0.80171545]",1073.251542,0.971874529
65,"[ 0.8373384   0.82412318  0.83416967  0.89563711  0.85591741  1.10375
  0.88775793  0.88        0.89        0.80171545]",1077.370512,0.971591501
66,"[ 0.8373384   0.82412318  0.83416967  0.84563711  0.90591741  1.10375
  0.88775793  0.88        0.89        0.80171545]",1074.249669,0.972044638
67,"[ 0.8373384   0.82412318  0.83416967  0.84563711  0.85591741  1.15375
  0.88775793  0.88        0.89        0.80171545]",1073.075288,0.929902294
68,"[ 0.8373384   0.82412318  0.83416967  0.84563711  0.85591741  1.10375
  0.93775793  0.88        0.89        0.80171545]",1071.349371,0.970905101
69,"[ 0.8373384   0.82412318  0.83416967  0.84563711  0.85591741  1.10375
  0.88775793  0.93        0.89        0.80171545]",1073.486582,0.9726969
70,"[ 0.8373384   0.82412318  0.83416967  0.84563711  0.85591741  1.10375
  0.88775793  0.88        0.94        0.80171545]",1073.486582,0.9726969
71,"[ 0.8373384   0.82412318  0.83416967  0.84563711  0.85591741  1.10375
  0.88775793  0.88        0.89        0.85171545]",1073.866953,0.97263723
72,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1073.486582,0.9726969
73,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1073.486582,0.9726969
74,"[ 0.88733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1078.811856,0.967528971
75,"[ 0.83733839  0.87412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1074.530594,0.97201269
76,"[ 0.83733839  0.82412318  0.88416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1073.251542,0.971874529
77,"[ 0.83733839  0.82412318  0.83416967  0.8956371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1077.370512,0.971591501
78,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.9059174   1.10375
  0.88775794  0.88        0.89        0.80171545]",1074.249669,0.972044638
79,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.15375
  0.88775794  0.88        0.89        0.80171545]",1073.075288,0.929902294
80,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.93775794  0.88        0.89        0.80171545]",1071.349371,0.970905101
81,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.93        0.89        0.80171545]",1073.486582,0.9726969
82,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.94        0.80171545]",1073.486582,0.9726969
83,"[ 0.83733839  0.82412318  0.83416967  0.8456371   0.8559174   1.10375
  0.88775794  0.88        0.89        0.85171545]",1073.866953,0.97263723
84,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1073.486582,0.9726969
85,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1073.486582,0.9726969
86,"[ 0.88733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1078.811856,0.967528971
87,"[ 0.83733667  0.87412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1074.530594,0.97201269
88,"[ 0.83733667  0.82412284  0.88416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1073.251542,0.971874529
89,"[ 0.83733667  0.82412284  0.83416975  0.89563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1077.370512,0.971591501
90,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.90591716  1.10375001
  0.88775863  0.88        0.89        0.80171545]",1074.249669,0.972044638
91,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.15375001
  0.88775863  0.88        0.89        0.80171545]",1073.075288,0.929902294
92,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.93775863  0.88        0.89        0.80171545]",1071.349371,0.970905101
93,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.93        0.89        0.80171545]",1073.486582,0.9726969
94,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.94        0.80171545]",1073.486582,0.9726969
95,"[ 0.83733667  0.82412284  0.83416975  0.84563585  0.85591716  1.10375001
  0.88775863  0.88        0.89        0.85171545]",1073.866953,0.97263723
96,"[ 0.75        0.80700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.675167,0.981157114
97,"[ 0.75        0.80700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.675167,0.981157114
98,"[ 0.8         0.80700061  0.83802449  0.78193782  0.84340222  1.11049553
  0.92280977  0.88        0.89        0.79547709]",1060.161157,0.976929047
99,[ 0.75        0.85700061  0.83802449  0.78193782  0.84340222  1.11049553  0.92280977  0.88        0.89        0.79547709],1060.77418,0.980590055
